name;address;postal code;city;phone;lattitude;longitude;company;idpoi;dfselection
JEAN PARISI PNEUS - SAINT CLAUDE;16 ROUTE DE LYON;39200;SAINT CLAUDE;03.84.45.23.78;46.3795;5.83905;Siligom;37;0
MARCAILLE PNEUS - BOULOGNE SUR GESSE;Z.I. LE PAPAYET;31350;BOULOGNE SUR GESSE;05 61 89 59 15;43.2871;0.659587;Siligom;37;0
LEDO PNEUS - LONS LE SAUNIER;BOULEVARD JULES FERRY;39000;LONS LE SAUNIER;03.84.47.09.75;46.6697;5.54692;Siligom;37;0
COMPTOIR DU PNEU - SAINT VIVIEN;LES GRANDS BONNEVEAUX;17220;SAINT VIVIEN;05 46 30 71 72;46.0833;-1.0717;Siligom;37;0
LA MAISON DU PNEU - LENS;346, ROUTE DE LILLE;62300;LENS;03.21.78.62.78;50.438;2.84411;Siligom;37;0
NPSI 24 - VITRY SUR SEINE;15 AV DU PRÉSIDENT SALVAD ALLENDE;94400;VITRY SUR SEINE;09 83 39 64 37;48.7957;2.4105;Siligom;37;0
PNEU SERVICE - BAGNERES DE BIGORRE;4 , RUE ST VINCENT;65200;BAGNERES DE BIGORRE;05.62.95.03.58;43.0656;0.150457;Siligom;37;0
DIMOFF PNEU SERVICE - PONT A MOUSSON;111 RUE ROBERT BLUM;54700;PONT A MOUSSON;03.83.83.10.79;48.911;6.06478;Siligom;37;0
LA MAISON DU PNEU - HESDIN;3, PLACE GARBE - RUE DE LA PAROISSE;62140;HESDIN;03.21.86.86.19;50.3755;2.03812;Siligom;37;0
SILIGOM GIROLAMI ET FILS - LUCCIANA;RN 193;20290;LUCCIANA;04.95.36.00.15;42.5622;9.4384;Siligom;37;0
PNEU ROUTE - BOURG EN BRESSE;165 RUE RADIOR;1000;BOURG EN BRESSE;04.74.24.08.11;46.2258;5.23166;Siligom;37;0
HENNETTE PNEUS - ENNETIERES EN WEPPES;75 BIS ROUTE NATIONALE;59320;ENNETIERES EN WEPPES;03 20 35 00 72;50.658;2.93064;Siligom;37;0
MARTIN PNEUS - ROEZE SUR SARTHE;Z.I. BODINIÈRE;72210;ROEZE SUR SARTHE;02.43.77.35.29;47.9051;0.059734;Siligom;37;0
PNEUS + - SAINT PIERRE DE CHANDIEU;Z.A.C. LES PRÉS DE CHARMY - CHEMIN DE SATOLAS;69780;SAINT-PIERRE-DE-CHANDIEU;04.72.48.29.71;45.6571;5.0292;Siligom;37;0
PONS PNEUS (POIDS LOURDS) - MURET;AVENUE JEAN FRANÇOIS ROUMIEUX;31600;MURET;05.61.51.07.37;43.4803;1.34009;Siligom;37;0
PALAIS DU PNEU - CHARLEVILLE-MEZIERES;7, AVENUE CHARLES DE GAULLE;8000;HARLEVILLE-MEZIERES;03.24.33.28.32;49.7666;4.71896;Siligom;37;0
JOSSERAND PNEUS - AIX EN PROVENCE;2703 ROUTE DE SISTERON - LES PLATANES;13100;AIX EN PROVENCE;04.42.21.17.55;43.5557;5.45967;Siligom;37;0
PYRAME PLUS - SALON DE PROVENCE;281/411, BOULEVARD DU ROI RENÉ;13300;SALON DE PROVENCE;04.90.53.30.38;43.6318;5.10088;Siligom;37;0
