name;address;postal code;city;phone;lattitude;longitude;company;idpoi;dfselection;
LANDIVISIAU SIMON PNEUS;Av. Foch;29400;LANDIVISIAU;02 98 68 13 88;48.512716;-4.062514;PROFIL+;35;0;
PROFIL PLUS LANGRES;C Cial Leclerc SAINTS GEOSMES;52200;LANGRES;03 25 87 36 31;47.83158;5.336038;PROFIL+;35;0;
La Reole;ZI de Frimont;33190;LA REOLE;05 56 61 04 51;44.580748;-0.063607;PROFIL+;35;0;
LA ROCHE SUR YON;Rue du Commerce ZI Sud;85000;LA ROCHE S/YON;02 51 36 07 15;46.653066;-1.4413;PROFIL+;35;0;
SIMON / PNEUS & CAOUTCHOUCS LA SOUTERRAINE;Bd Belmond;23300;LA SOUTERRAINE;05 55 63 00 25;46.244823;1.495386;PROFIL+;35;0;
Maxi Pneus;240 avenue Denis Papin;33260;La Teste de Buch;05 57 52 85 42;44.6085098;-1.1253848;PROFIL+;35;0;
PROFIL PLUS LAVAL;46 rue de Bruxelles ZA des Bozées;53000;LAVAL;02 43 59 20 80;48.059947;-0.735159;PROFIL+;35;0;
PROFIL PLUS LA VESPIERE;Lieu-dit Beausoleil;14290;LA VESPIERE;02 31 32 28 20;49.023715;0.415911;PROFIL+;35;0;
PROFIL PLUS LE BLANC;16 Bis Avenue Pierre Mendès France;36300;LE BLANC;02 54 28 74 90;46.631423;1.079069;PROFIL+;35;0;
PROFIL PLUS LE CREUSOT;55 avenue des Abattoirs Face à la caserne des pompiers;71200;LE CREUSOT;03 85 73 02 02;46.787995;4.444471;PROFIL+;35;0;
LE HAILLAN;Av. de Magudas;33185;LE HAILLAN;05 57 92 88 78;44.858659;-0.681098;PROFIL+;35;0;
PROFIL PLUS CHATEAUROUX;ZI Allée des Maisons Rouges;36330;LE POINCONNET;02 54 27 99 04;46.800146;1.735824;PROFIL+;35;0;
LES ESSARTS;Parc d'activités La Mongie;85140;LES ESSARTS;02 28 15 06 90;46.785213;-1.18482;PROFIL+;35;0;
Nantes Pneumatiques;Route de la Rochelle - La Bauche a Millet;44840;LES SORINIERES;02 40 80 87 09;47.1958672;-1.544699;PROFIL+;35;0;
PNEUS & CAOUTCHOUCS LIMOGES Nord;35 rue Roberval ZI Nord;87000;LIMOGES;05 55 04 11 26;45.881541;1.266926;PROFIL+;35;0;
PNEUS & CAOUTCHOUCS LIMOGES Sud;2 rue Hubert Curien ZA de Romanet;87000;LIMOGES;05 55 34 51 21;45.810147;1.27407;PROFIL+;35;0;
PROFIL PLUS LISIEUX;282 route de Paris Avenue Georges Duval;14100;Lisieux;02 31 32 17 00;49.145877;0.2706458;PROFIL+;35;0;
PROFIL PLUS L'ISLE JOURDAIN;ZI des Poumadères;32600;L'Isle Jourdain;05 62 07 08 46;43.60895;1.093649;PROFIL+;35;0;
PROFIL PLUS LONS;171 avenue Jean Mermoz;64140;LONS;05 59 32 43 85;43.321728;-0.37901;PROFIL+;35;0;
PROFIL PLUS LONS LE SAUNIER;130 Rue Victor Berard;39000;LONS LE SAUNIER;03 84 24 01 59;46.677693;5.574913;PROFIL+;35;0;
PROFIL PLUS LORETTE;7 Plaine de Grézieux;42420;LORETTE;04 77 75 98 16;45.517947;4.593118;PROFIL+;35;0;
AURAY PNEUS;ZI de Kersuguet;22600;LOUDEAC;02 96 28 05 73;48.172895;-2.74801;PROFIL+;35;0;
LOUDEAC VL;56 rue de la Chèze;22600;LOUDEAC;02 96 66 00 43;48.173451;-2.747786;PROFIL+;35;0;
PROFIL PLUS LOUHANS;67 & 73 rue du Jura Près du centre commercial Lidl;71500;LOUHANS;03 85 75 04 41;46.631758;5.238316;PROFIL+;35;0;
PROFIL PLUS ADDAX CENTRE AUTO À proximité de LUXEUIL;27 Rue des Martyrs de la Résistance;70300;Luxeuil Les Bains;03 84 40 01 23;47.822045;6.386014;PROFIL+;35;0;
PROFIL PLUS LUXEUIL LES BAINS;29 Rue des Martyrs de la Resistance;70300;Luxeuil Les Bains;03 84 40 27 01;47.822174;6.386379;PROFIL+;35;0;
PROFIL PLUS MAIZIERES LA GRANDE PAROISSE;ZI la Glacière Nord R.N. 19;10510;MAIZIERES LA GRANDE PAROISSE;03 25 24 97 18;48.500921;3.803167;PROFIL+;35;0;
PROFIL PLUS MALAY LE GRAND;ZA Les Bas Muzats;89100;MALAY LE GRAND;03 86 65 26 03;48.207094;3.27743;PROFIL+;35;0;
MALEMORT PNEUS & CAOUTCHOUCS;42 Av. de la Libération;19360;MALEMORT SUR CORREZE;05 55 92 17 80;45.174517;1.575315;PROFIL+;35;0;
PROFIL PLUS MAURIAC;Avenue Fernand Talendier;15200;Mauriac;04 71 68 03 00;45.216974;2.339398;PROFIL+;35;0;
PROFIL PLUS MAZERES;Lieu dit Perite;33210;MAZERES;05 56 63 02 02;44.519459;-0.237025;PROFIL+;35;0;
PROFIL PLUS MEYTHET;6 rue de l'Euro;74960;MEYTHET;04 50 24 57 19;45.922005;6.091186;PROFIL+;35;0;
MONTAUBAN CHALLENGE PNEUS;17 rue Voltaire;82000;MONTAUBAN;05 63 22 55 55;44.036201;1.369115;PROFIL+;35;0;
PROFIL PLUS MONTCEAU LES MINES;45 avenue des Alouettes Le Bois du Verne;71300;MONTCEAU LES MINES;03 85 67 07 21;46.689645;4.356633;PROFIL+;35;0;
PROFIL PLUS MONT DE MARSAN;7 allée de l'Oranger;40000;MONT DE MARSAN;05 58 05 50 50;43.911648;-0.463774;PROFIL+;35;0;
PROFIL PLUS MONT DE MARSAN (Ville);15 bis boulevard F. De Candau;40000;MONT DE MARSAN;05 58 75 01 18;43.89209;-0.506282;PROFIL+;35;0;
PROFIL PLUS MONTEREAU;8 Rue Du Pharle ZI du Pharle;77130;MONTEREAU FAULT YONNE;01 64 23 72 62;48.3878508;2.9662907;PROFIL+;35;0;
MONTGUYON;Le Ramigeon Route de ST Aigulin;17270;MONTGUYON;05 46 04 18 23;45.211223;-0.178237;PROFIL+;35;0;
MONTMORILLON;117 rte de Concise;86500;MONTMORILLON;05 49 91 71 07;46.4272368;0.8638001;PROFIL+;35;0;
PENGLAOU PNEUS;ZAC du CAdrean;44550;Montoir de Bretagne;02 40 45 93 80;47.3270519;-2.150431;PROFIL+;35;0;
PNEUMATIQUES 44 MONTOIR DE BRETAGNE;Bd des Apprentis;44550;MONTOIR DE BRETAGNE;02 51 10 54 55;47.306406;-2.174782;PROFIL+;35;0;
MOREAC Pneus;Z.I du Bronut Face à l'Intermarché de Locminé;56500;MOREAC;02 97 60 57 18;47.892777;-2.833684;PROFIL+;35;0;
PROFIL PLUS MORTAGNE AU PERCHE;66 Fbg Saint Eloi;61400;MORTAGNE AU PERCHE;02 33 85 01 85;48.524137;0.538777;PROFIL+;35;0;
PROFIL PLUS MOUTIERS;140 avenue de Belleville;73600;MOUTIERS;04 79 24 65 85;45.483568;6.527981;PROFIL+;35;0;
MURET VIALATTE PNEUS;179 Av. Jacques Douzans Au rond point, à côté bâtiment EDF;31600;MURET;05 61 51 48 34;43.4708;1.330156;PROFIL+;35;0;
PROFIL PLUS NANCY;23/25 Rue Marcel Brot;54000;Nancy;03 83 29 91 60;48.6838312;6.202527;PROFIL+;35;0;
NANTES PNEUMATIQUES;83 route de Paris Sortie 41 - porte de Carquefou;44325;NANTES;02 40 52 57 57;47.254018;-1.514134;PROFIL+;35;0;
PROFIL PLUS NEUFCHATEAU;Z.I. des Torrières;88300;Neufchateau;03 29 06 01 06;48.364048;5.681731;PROFIL+;35;0;
CHOUTEAU PNEUS - NIORT Paris;36 avenue de Paris Proximité place de la Brèche;79000;NIORT;05 49 77 23 00;46.324581;-0.455675;PROFIL+;35;0;
NIORT PNEUMATEC;2 rue Couzinet;79006;NIORT;05 49 33 12 08;46.33373;-0.414259;PROFIL+;35;0;
PROFIL PLUS NOGENT;rue des Acacias;52800;NOGENT;03 25 30 57 50;48.028437;5.345543;PROFIL+;35;0;
PROFIL PLUS NOGENT LE ROTROU;ZA de l'Aunay;28400;NOGENT LE ROTROU;02 37 52 33 70;48.305891;0.807127;PROFIL+;35;0;
CAP NOYAL;Route de Laval;35530;NOYAL/VILAINE;02 99 00 53 44;48.107283;-1.509517;PROFIL+;35;0;
PROFIL PLUS NUITS SAINT GEORGES;12 Route de Dijon;21700;NUITS ST GEORGES;03 80 61 02 45;47.141336;4.953062;PROFIL+;35;0;
PARTHENAY;116 boulevard Aristide Briand Route de Poitiers - Face Atlas;79200;PARTHENAY;05 49 64 38 41;46.646783;-0.218378;PROFIL+;35;0;
PIERREFITTE SUR SEINE;65 Av. Lénine;93380;PIERREFITTE SUR SEINE;01 48 26 50 59;48.95996;2.358982;PROFIL+;35;0;
PLOERMEL PNEUS;Rue Thimonier ZA du bois vert;56800;PLOERMEL;02 97 93 62 62;47.932889;-2.376279;PROFIL+;35;0;
Simon Pneus - PLOUMAGOAR;ZI de Bellevue;22970;PLOUMAGOAR;02 96 44 22 57;48.551947;-3.115868;PROFIL+;35;0;
PROFIL PLUS PONTARLIER - LA MAISON DU PNEU;ZA des Grands Planchants 19, Rue Pierre Déchanet;25300;Pontarlier;03 81 39 95 95;46.901214;6.333465;PROFIL+;35;0;
PROFIL PLUS PONTARLIER - PNEUS PERFORMANCE;3 Rue Claude Chappe City Parc Entrée A;25300;PONTARLIER;03 81 49 33 40;46.909943;6.341162;PROFIL+;35;0;
COMPTOIR DE RETZ DU PNEU;7 rue du Capitaine Yves Jallais Zone Commerciale Les Terres Jarries;44210;PORNIC;02 40 82 62 80;47.115491;-2.104444;PROFIL+;35;0;
PUILBOREAU;ZAC de Beaulieu Derrière Darty;17138;PUILBOREAU;05 46 50 04 99;46.17531;-1.110004;PROFIL+;35;0;
PROFIL PLUS DIJON QUETIGNY;16 rue des Artisans;21800;QUETIGNY;03 80 72 32 77;47.307034;5.100798;PROFIL+;35;0;
QUEVEN PNEUS;ZAC du Mourillon;56530;QUEVEN;02 97 05 24 04;47.780027;-3.418502;PROFIL+;35;0;
Profil Plus Quévert;36 boulevard Préval;22100;Quévert;296851062;48.4596767;-2.0588121000000683;PROFIL+;35;0;
BEGOT PNEUS;79 route de Brest;29000;QUIMPER;02 98 95 09 33;47.998341;-4.09407;PROFIL+;35;0;
CAP Quimper;Rue Lebon ZI de l'hippodrome;29000;QUIMPER;02 98 90 18 87;47.99506;-4.074593;PROFIL+;35;0;
PROFIL PLUS VESOUL (Qunicey);15 Rue Jean Poirey;70000;Quincey (Vesoul);03 84 76 13 04;47.616636;6.173691;PROFIL+;35;0;
RODEZ CHALLENGE PNEUS MAURY;rue des charpentiers ZA de Bel Air Entrée N°4;12000;RODEZ;05 65 42 03 00;44.377191;2.535959;PROFIL+;35;0;
PROFIL PLUS ROMORANTIN;Route de Villefranche;41200;ROMORANTIN;02 54 76 13 15;47.338675;1.749625;PROFIL+;35;0;
PROFIL+ Rouans - PENGLAOU PNEUS;14 Rue Joseph Cugnot Zone Artisanale Du Mottay;44640;Rouans;02 40 64 29 29;47.194091796875;-1.8481521606445312;PROFIL+;35;0;
